claim_id,claim,cited_doc_id,label
124,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,4883040,SUPPORT
124,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,4883040,SUPPORT
127,Arginine 90 in p150n is important for interaction with EB1.,21598000,
128,Arterioles have a larger lumen diameter than venules.,8290953,
129,Articles published in open access format are less likely to be cited than traditional journals.,27768226,CONTRADICT
129,Articles published in open access format are less likely to be cited than traditional journals.,27768226,CONTRADICT
129,Articles published in open access format are less likely to be cited than traditional journals.,27768226,CONTRADICT
129,Articles published in open access format are less likely to be cited than traditional journals.,27768226,CONTRADICT
130,Articles published in open access format are more likely to be cited than traditional journals.,27768226,SUPPORT
130,Articles published in open access format are more likely to be cited than traditional journals.,27768226,SUPPORT
130,Articles published in open access format are more likely to be cited than traditional journals.,27768226,SUPPORT
130,Articles published in open access format are more likely to be cited than traditional journals.,27768226,SUPPORT
132,Aspirin inhibits the production of PGE2.,7975937,
133,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",38485364,SUPPORT
133,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",6969753,SUPPORT
133,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",17934082,SUPPORT
133,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",16280642,SUPPORT
133,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",12640810,SUPPORT
137,Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.,26016929,SUPPORT
141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,6955746,SUPPORT
141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,14437255,SUPPORT
141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,6955746,SUPPORT
141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,14437255,SUPPORT
141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,6955746,SUPPORT
141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,14437255,SUPPORT
141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,6955746,SUPPORT
141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,14437255,SUPPORT
141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,6955746,SUPPORT
141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,14437255,SUPPORT
141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,6955746,SUPPORT
141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,14437255,SUPPORT
142,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,10582939,CONTRADICT
143,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,10582939,SUPPORT
146,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,10582939,SUPPORT
146,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,10582939,SUPPORT
148,Autophagy declines in aged organisms.,1084345,SUPPORT
163,Bariatric surgery has a positive impact on mental health.,18872233,SUPPORT
163,Bariatric surgery has a positive impact on mental health.,18872233,SUPPORT
171,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,12670680,CONTRADICT
171,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,12670680,CONTRADICT
171,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,12670680,CONTRADICT
179,Birth-weight is positively associated with breast cancer.,16322674,SUPPORT
179,Birth-weight is positively associated with breast cancer.,27123743,SUPPORT
179,Birth-weight is positively associated with breast cancer.,23557241,SUPPORT
179,Birth-weight is positively associated with breast cancer.,17450673,SUPPORT
179,Birth-weight is positively associated with breast cancer.,16322674,SUPPORT
179,Birth-weight is positively associated with breast cancer.,27123743,SUPPORT
179,Birth-weight is positively associated with breast cancer.,23557241,SUPPORT
179,Birth-weight is positively associated with breast cancer.,17450673,SUPPORT
179,Birth-weight is positively associated with breast cancer.,16322674,SUPPORT
179,Birth-weight is positively associated with breast cancer.,27123743,SUPPORT
179,Birth-weight is positively associated with breast cancer.,23557241,SUPPORT
179,Birth-weight is positively associated with breast cancer.,17450673,SUPPORT
179,Birth-weight is positively associated with breast cancer.,16322674,SUPPORT
179,Birth-weight is positively associated with breast cancer.,27123743,SUPPORT
179,Birth-weight is positively associated with breast cancer.,23557241,SUPPORT
179,Birth-weight is positively associated with breast cancer.,17450673,SUPPORT
179,Birth-weight is positively associated with breast cancer.,16322674,SUPPORT
179,Birth-weight is positively associated with breast cancer.,27123743,SUPPORT
179,Birth-weight is positively associated with breast cancer.,23557241,SUPPORT
179,Birth-weight is positively associated with breast cancer.,17450673,SUPPORT
179,Birth-weight is positively associated with breast cancer.,16322674,SUPPORT
179,Birth-weight is positively associated with breast cancer.,27123743,SUPPORT
179,Birth-weight is positively associated with breast cancer.,23557241,SUPPORT
179,Birth-weight is positively associated with breast cancer.,17450673,SUPPORT
179,Birth-weight is positively associated with breast cancer.,16322674,SUPPORT
179,Birth-weight is positively associated with breast cancer.,27123743,SUPPORT
179,Birth-weight is positively associated with breast cancer.,23557241,SUPPORT
179,Birth-weight is positively associated with breast cancer.,17450673,SUPPORT
179,Birth-weight is positively associated with breast cancer.,16322674,SUPPORT
179,Birth-weight is positively associated with breast cancer.,27123743,SUPPORT
179,Birth-weight is positively associated with breast cancer.,23557241,SUPPORT
179,Birth-weight is positively associated with breast cancer.,17450673,SUPPORT
180,Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 leads to increased TDP-43-induced neuronal loss.,16966326,CONTRADICT
183,Bone marrow cells contribute to adult macrophage compartments.,12827098,CONTRADICT
185,Breast cancer development is determined exclusively by genetic factors.,18340282,CONTRADICT
185,Breast cancer development is determined exclusively by genetic factors.,18340282,CONTRADICT
198,CCL19 is absent within dLNs.,2177022,
208,CHEK2 is not associated with breast cancer.,13519661,SUPPORT
212,CR is associated with higher methylation age.,22038539,CONTRADICT
212,CR is associated with higher methylation age.,22038539,CONTRADICT
212,CR is associated with higher methylation age.,22038539,CONTRADICT
212,CR is associated with higher methylation age.,22038539,CONTRADICT
212,CR is associated with higher methylation age.,22038539,CONTRADICT
213,CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery.,13625993,
216,CX3CR1 on the Th2 cells impairs T cell survival,21366394,CONTRADICT
217,CX3CR1 on the Th2 cells promotes T cell survival,21366394,SUPPORT
218,CX3CR1 on the Th2 cells promotes airway inflammation.,21366394,SUPPORT
218,CX3CR1 on the Th2 cells promotes airway inflammation.,21366394,SUPPORT
218,CX3CR1 on the Th2 cells promotes airway inflammation.,21366394,SUPPORT
219,CX3CR1 on the Th2 cells suppresses airway inflammation.,21366394,CONTRADICT
219,CX3CR1 on the Th2 cells suppresses airway inflammation.,21366394,CONTRADICT
230,Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.,3067015,SUPPORT
232,Cataract and trachoma are the primary cause of blindness in Southern Sudan.,10536636,
233,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,4388470,CONTRADICT
233,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,4388470,CONTRADICT
233,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,4388470,CONTRADICT
236,Cell autonomous sex determination in somatic cells occurs in Passeriformes.,4388470,SUPPORT
236,Cell autonomous sex determination in somatic cells occurs in Passeriformes.,4388470,SUPPORT
236,Cell autonomous sex determination in somatic cells occurs in Passeriformes.,4388470,SUPPORT
237,Cells lacking clpC have a defect in sporulation efficiency in Bacillus subtilis.,4942718,
238,Cells undergoing methionine restriction may activate miRNAs.,2251426,
239,Cellular aging closely links to an older appearance.,14079881,SUPPORT
239,Cellular aging closely links to an older appearance.,14079881,SUPPORT
248,Chenodeosycholic acid treatment increases whole-body energy expenditure.,1568684,SUPPORT
248,Chenodeosycholic acid treatment increases whole-body energy expenditure.,1568684,SUPPORT
249,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,1568684,CONTRADICT
249,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,1568684,CONTRADICT
261,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.",1122279,SUPPORT
261,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.",10697096,SUPPORT
261,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.",1122279,SUPPORT
261,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.",10697096,SUPPORT
268,Cold exposure increases BAT recruitment.,970012,
269,Cold exposure reduces BAT recruitment.,970012,
274,Combination nicotine replacement therapies with varenicline or bupropion lead to significantly higher long-term abstinence rates at 52 weeks than varenicline monotherapy.,11614737,CONTRADICT
274,Combination nicotine replacement therapies with varenicline or bupropion lead to significantly higher long-term abstinence rates at 52 weeks than varenicline monotherapy.,11614737,CONTRADICT
275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,4961038,SUPPORT
275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,14241418,SUPPORT
275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,14819804,SUPPORT
275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,4961038,SUPPORT
275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,14241418,SUPPORT
275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,14819804,SUPPORT
275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,4961038,SUPPORT
275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,14241418,SUPPORT
275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,14819804,SUPPORT
279,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,14376683,SUPPORT
294,Crossover hot spots are not found within gene promoters in Saccharomyces cerevisiae.,10874408,
295,Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is important in the regulation of intestinal homeostasis.,20310709,SUPPORT
295,Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is important in the regulation of intestinal homeostasis.,20310709,SUPPORT
298,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,39381118,SUPPORT
300,Cytosolic proteins bind to iron-responsive elements on mRNAs coding for DMT1. Cytosolic proteins bind to iron-responsive elements on mRNAs coding for proteins involved in iron uptake.,3553087,
303,DMRT1 is a sex-determining gene that is epigenetically regulated by the MHM region.,4388470,
312,De novo assembly of sequence data has more specific contigs than unassembled sequence data.,6173523,
314,Deamination of cytidine to uridine on the minus strand of viral DNA results in catastrophic G-to-A mutations in the viral genome.,4347374,SUPPORT
324,Deleting Raptor reduces G-CSF levels.,2014909,
327,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,17997584,SUPPORT
338,Dexamethasone decreases risk of postoperative bleeding.,23349986,CONTRADICT
338,Dexamethasone decreases risk of postoperative bleeding.,23349986,CONTRADICT
338,Dexamethasone decreases risk of postoperative bleeding.,23349986,CONTRADICT
343,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,7873737,SUPPORT
343,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,5884524,SUPPORT
350,Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3.,16927286,
354,Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis.,8774475,
362,During the primary early antibody response activated B cells migrate toward the inner-and outer paracortical areas where oxysterol accumulation is generated by stromal cells.,38587347,
380,Enhanced early production of inflammatory chemokines improves viral control in the lung.,19005293,SUPPORT
384,Epidemiological disease burden from noncommunicable diseases is more prevalent in low economic settings.,13770184,
385,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,9955779,SUPPORT
385,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,9767444,SUPPORT
386,Errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations.,16495649,SUPPORT
386,Errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations.,16495649,SUPPORT
388,Ethanol stress decreases the expression of IBP in bacteria.,1148122,
399,Exposure to fine particulate air pollution is relate to anxiety prevalence.,791050,SUPPORT
399,Exposure to fine particulate air pollution is relate to anxiety prevalence.,791050,SUPPORT
410,Febrile seizures increase the threshold for development of epilepsy.,14924526,
411,Febrile seizures reduce the threshold for development of epilepsy.,14924526,
415,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,6309659,SUPPORT
421,Flexible molecules experience greater steric hindrance in the tumor microenviroment than rigid molecules.,11172205,
431,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,28937856,SUPPORT
436,Free histones are degraded by a Rad53-dependent mechanism once DNA has been replicated.,14637235,SUPPORT
436,Free histones are degraded by a Rad53-dependent mechanism once DNA has been replicated.,14637235,SUPPORT
437,Functional consequences of genomic alterations due to Myelodysplastic syndrome (MDS) are poorly understood due to the lack of an animal model.,18399038,
439,Fz/PCP-dependent Pk localizes to the anterior membrane of neuroectoderm cells during zebrafish neuralation,4423559,
440,Fz/PCP-dependent Pk localizes to the anterior membrane of notochord cells during zebrafish neuralation.,4423559,
443,GATA-3 is important for hematopoietic stem cell (HSC) function.,10165258,SUPPORT
452,Gene expression does not vary appreciably across genetically identical cells.,12804937,CONTRADICT
452,Gene expression does not vary appreciably across genetically identical cells.,464511,CONTRADICT
452,Gene expression does not vary appreciably across genetically identical cells.,12804937,CONTRADICT
452,Gene expression does not vary appreciably across genetically identical cells.,464511,CONTRADICT
475,Glycolysis is one of the primary glycometabolic pathways in cells.,18678095,SUPPORT
478,Golli-deficient T-cells prefer to differentiate into an anergic phenotype in the adaptive immune response when there are increased levels of Ca2+ in the cytosol.,14767844,
491,HNF4A mutations can cause diabetes in mutant carriers by the age of 14 years,56893404,
501,Headaches are not correlated with cognitive impairment.,17930286,SUPPORT
502,"Healthcare delivery efficiency in crowded delivery centers is impaired by improving structural, logistical, and interpersonal elements.",13071728,
507,Helminths interfere with immune system control of macrophages activated by IL-4 favor Mycobacterium tuberculosis replication.,30774694,
508,Hematopoietic Stem Cell purification reaches purity rate of up to 50%.,13980338,
513,High cardiopulmonary fitness causes increased mortality rate.,13230773,CONTRADICT
514,High dietary calcium intakes are unnecessary for prevention of secondary hyperparathyroidism in subjects with 25(OH)D levels above 75 nmol/liter.,16256507,
516,High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,29564505,CONTRADICT
516,High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,29564505,CONTRADICT
517,High levels of copeptin decrease risk of diabetes.,15663829,
521,High-sensitivity cardiac troponin T (HSCT-T) dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before acute myocardial injury (AMI).,34873974,SUPPORT
525,Histone demethylase recruitment and a transient decrease in histone methylation is necessary for ligand-dependent induction of transcription by nuclear receptors.,13639330,SUPPORT
527,Homozygous deletion of murine Sbds gene from osterix-expressing mesenchymal stem and progenitor cells (MPCs) prevents oxidative stress.,3863543,
528,Human T-lymphotropic virus type-I-associated myelopathy / tropical spastic paraparesis (HAM/TSP) patients produce Immunoglobulin G (IgG) antibodies which cross-react with an immunodominant epitope in Tax.,5476778,SUPPORT
532,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,12991445,CONTRADICT
532,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,12991445,CONTRADICT
532,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,12991445,CONTRADICT
532,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,12991445,CONTRADICT
533,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,12991445,SUPPORT
533,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,12991445,SUPPORT
533,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,12991445,SUPPORT
533,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,12991445,SUPPORT
535,Hypertension is frequently observed in type 1 diabetes patients.,39368721,
536,Hypocretin neurones induce panicprone state in rats.,16056514,SUPPORT
539,Hypoglycemia increases the risk of dementia.,13282296,SUPPORT
539,Hypoglycemia increases the risk of dementia.,13282296,SUPPORT
540,Hypothalamic glutamate neurotransmission is crucial to energy balance.,11886686,SUPPORT
540,Hypothalamic glutamate neurotransmission is crucial to energy balance.,25007443,SUPPORT
544,IFIT1 restricts viral replication by sequestrating mis-capped viral RNAs.,24221369,
549,IRG1 has antiviral effects against neurotropic viruses.,9433958,SUPPORT
551,ITAM phosphorylation prevents the transfer of the T cell receptor (TCR) signal from the echo-domain to the cytoplasmic tail of the T cell receptor (TCR).,33499189,
552,IgA plasma cells that are specific for transglutaminase 2 accumulate in the duodenal mucosa on commencement of a gluten-free diet.,1471041,
554,Immune complex triggered cell death leads to extracellular release of neutrophil protein HMGB1.,1049501,
560,Immune responses result in the development of inflammatory Th17 cells and anti-inflammatory iTregs.,40096222,
569,"In adult tissue, most T cells are memory T cells.",23460562,SUPPORT
575,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",10300888,
577,"In mice, P. chabaudi parasites are able to proliferate faster early in infection when inoculated at lower numbers than when inoculated at high numbers.",5289038,
578,"In mouse models, the loss of CSF1R facilitates MOZ-TIF2-induced leuekmogenesis.",8764879,CONTRADICT
578,"In mouse models, the loss of CSF1R facilitates MOZ-TIF2-induced leuekmogenesis.",8764879,CONTRADICT
578,"In mouse models, the loss of CSF1R facilitates MOZ-TIF2-induced leuekmogenesis.",8764879,CONTRADICT
587,"In transgenic mice harboring green florescent protein under the control of the Sox2 promoter, less than ten percent of the cells with green florescent colocalize with cell proliferation markers.",16999023,
589,"In young and middle-aged adults, current or remote uses of ADHD medications do not increase the risk of serious cardiovascular events.",10984005,SUPPORT
589,"In young and middle-aged adults, current or remote uses of ADHD medications do not increase the risk of serious cardiovascular events.",10984005,SUPPORT
593,Incidence of heart failure decreased by 10% in women since 1979.,19675911,SUPPORT
597,Incidence rates of cervical cancer have decreased.,12779444,SUPPORT
597,Incidence rates of cervical cancer have decreased.,36355784,SUPPORT
597,Incidence rates of cervical cancer have decreased.,25742130,SUPPORT
597,Incidence rates of cervical cancer have decreased.,12779444,SUPPORT
597,Incidence rates of cervical cancer have decreased.,36355784,SUPPORT
597,Incidence rates of cervical cancer have decreased.,25742130,SUPPORT
597,Incidence rates of cervical cancer have decreased.,12779444,SUPPORT
597,Incidence rates of cervical cancer have decreased.,36355784,SUPPORT
597,Incidence rates of cervical cancer have decreased.,25742130,SUPPORT
598,Incidence rates of cervical cancer have increased due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.,25742130,CONTRADICT
598,Incidence rates of cervical cancer have increased due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.,25742130,CONTRADICT
613,Increased microtubule acetylation repairs LRRK2 Roc-COR domain mutation induced locomotor deficits.,9638032,SUPPORT
619,Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,20888849,CONTRADICT
619,Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,2565138,CONTRADICT
623,Individuals with low serum vitamin D concentrations have increased risk of multiple sclerosis.,17000834,
628,Infection of human T-cell lymphotropic virus type 1 is most frequent in individuals of African origin.,24512064,
636,"Inositol lipid 3-phosphatase PTEN converts Ptdlns(3,4)P 2 into phosphatidylinositol 4-phosphate.",24294572,SUPPORT
637,Input from  mental and physical health care professionals is effective at decreasing homelessness.,25649714,
641,Insomnia can be effectively treated with cognitive behavioral therapy.,5912283,SUPPORT
641,Insomnia can be effectively treated with cognitive behavioral therapy.,31554917,SUPPORT
641,Insomnia can be effectively treated with cognitive behavioral therapy.,5912283,SUPPORT
641,Insomnia can be effectively treated with cognitive behavioral therapy.,31554917,SUPPORT
641,Insomnia can be effectively treated with cognitive behavioral therapy.,5912283,SUPPORT
641,Insomnia can be effectively treated with cognitive behavioral therapy.,31554917,SUPPORT
641,Insomnia can be effectively treated with cognitive behavioral therapy.,5912283,SUPPORT
641,Insomnia can be effectively treated with cognitive behavioral therapy.,31554917,SUPPORT
644,Insulin increases risk of severe kidney failure.,13619127,
649,Integrating classroom-based collaborative learning with Web-based collaborative learning leads to subpar class performance,12789595,
659,Ivermectin is used to treat lymphatic filariasis.,1215116,
660,Ivermectin is used to treat onchocerciasis.,1215116,
674,LDL cholesterol has no involvement in the development of cardiovascular disease.,2095573,CONTRADICT
684,Lack of clpC does not affect sporulation efficiency in Bacillus subtilis cells.,4942718,
690,Less than 10% of the gabonese children with Schimmelpenning-Feuerstein-Mims syndrome (SFM) had a plasma lactate of more than 5mmol/L.,18750453,
691,Leukemia associated Rho guanine nucleotide-exchange factor represses RhoA in response to SRC activation.,10991183,
692,Leuko-increased blood increases infectious complications in red blood cell transfusion.,24088502,CONTRADICT
692,Leuko-increased blood increases infectious complications in red blood cell transfusion.,24088502,CONTRADICT
692,Leuko-increased blood increases infectious complications in red blood cell transfusion.,24088502,CONTRADICT
693,Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,24088502,SUPPORT
693,Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,24088502,SUPPORT
693,Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,24088502,SUPPORT
700,Localization of PIN1 in the Arabidopsis embryo does not require VPS9a,4350400,
702,Localization of PIN1 in the roots of Arabidopsis does not require VPS9a,4350400,
715,Low expression of miR7a does represses target genes and exerts a biological function in ovaries.,18421962,
716,Low expression of miR7a exerts a biological function in testis.,18421962,
718,Low nucleosome occupancy correlates with low methylation levels across species.,17587795,CONTRADICT
721,Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.,1834762,SUPPORT
723,Ly49Q directs the organization of neutrophil migration to inflammation sites by regulating membrane raft functions.,5531479,SUPPORT
723,Ly49Q directs the organization of neutrophil migration to inflammation sites by regulating membrane raft functions.,5531479,SUPPORT
727,Ly6C hi monocytes have a lower inflammatory capacity compared to their Ly6C lo counterparts.,7521113,
728,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,7521113,CONTRADICT
728,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,36444198,CONTRADICT
728,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,7521113,CONTRADICT
728,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,36444198,CONTRADICT
729,Lymphadenopathy is observed in knockin mouse lacking the SHP-2 MAPK pathway.,26851674,SUPPORT
742,Macrolides have no protective effect against myocardial infarction.,32159283,SUPPORT
743,Macrolides protect against myocardial infarction.,32159283,CONTRADICT
744,Macropinocytosis contributes to a cell's supply of amino acids via the intracellular uptake of protein.,8460275,SUPPORT
756,Many proteins in human cells can be post-translationally modified at lysine residues via acetylation.,2831620,SUPPORT
759,Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have a dramatic impact in reducing malaria transmission.,1805641,CONTRADICT
768,Mercaptopurine is anabolized into the inactive methylmercaptopurine by thiopurine methyltrasnferase (TPMT).,6421792,
770,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in reduced efficacy and lower quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,15476777,SUPPORT
775,Mice defective for deoxyribonucleic acid (DNA) polymerase I (polI) reveal increased sensitivity to ionizing radiation (IR).,32275758,
781,Mice that lack Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,24338780,CONTRADICT
781,Mice that lack Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,24338780,CONTRADICT
781,Mice that lack Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,24338780,CONTRADICT
783,Mice without IFN-γ or its receptor are resistant to EAM induced with α-MyHC/CFA.,40632104,
784,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,2356950,SUPPORT
