statement_id,statement
S023,"William Dickinson attended Westminster school for high school and then the University of Edinburgh. (variable1 is ""attended Westminster"" and variable2 is ""Westminster is a high school"" and variable3 is ""attended the University of Edinburgh"")"
S024,"The University of Edinburgh is a university located in the United Kingdom. (variable1 is ""located in the United Kingdom"" and variable2 is ""a university"")"
S025,"William Dickinson supported the Portland Whigs. (variable1 is ""supported the Portland Whigs"")"
S026,"People who supported the Portland Whigs did not get a seat in the Parliament. (variable1 is ""supported the Portland Whigs"" and variable2 is ""get a seat in the Parliament"")"
S027,"LanguageA is a universal language (variable1 is ""a universal language"")"
S028,"If a universal language exists, then for every two people if they both know the same universal language they can communicate. (variable1 is ""person x knows a language"" and variable2 is ""person y knows a language"" and variable3 is ""the language is universal"" and variable4 is ""they can communicate"")"
S029,"Katya cannot communicate with Danil. (variable1 is ""can communicate"")"
S030,"Katya knows LanguageA. (variable1 is ""knows LanguageA"")"
S031,"All customers who are subscribed to AMC List are available to watch 3 movies every week without any additional fees. (variable1 is ""subscribed to AMC List"" and variable2 is ""available to watch 3 movies every week without any additional fees"")"
S032,"Some customers go to cinemas every week (variable1 is ""go to cinemas every week"")"
S033,"Customers either subscribe to AMC service or HBO service. (variable1 is ""subscribe to AMC service"" and variable2 is ""subscribe to HBO service"")"
S034,"Customers who prefer TV series more and will not watch TV series in cinemas. (variable1 is ""prefer TV series"" and variable2 is ""watch TV series in cinemas"")"
S035,"All customers who subscribe to HBO services prefer TV series to movies. (variable1 is ""subscribe to HBO services"" and variable2 is ""prefer TV series to movies"")"
S036,"James watches TV series in cinemas. (variable1 is ""watches TV series in cinemas"")"
S037,"A La Liga soccer team ranks higher than another if it receives more points. (variable1 is ""a La Liga soccer team"" and variable2 is ""another La Liga soccer team"" and variable3 is ""receives more points"" and variable4 is ""ranks higher"")"
S038,"If two La Liga soccer teams recieve the same points, the team which recieves more points from the games between the two teams ranks higher. (variable1 is ""a La Liga soccer team"" and variable2 is ""another La Liga soccer team"" and variable3 is ""does not receive more points"" and variable4 is ""other does not receive more points"" and variable5 is ""receives more points from games between them"" and variable6 is ""ranks higher"")"
S039,"Real Madrid and Barcelona are both La Liga soccer teams. (variable1 is ""Real Madrid is a La Liga soccer team"" and variable2 is ""Barcelona is a La Liga soccer team"")"
S040,"In La Liga 2021-2022, Real Madrid recieves 86 points and Barcelon recieves 73 points. (variable1 is ""Real Madrid receives more points than Barcelona"")"
S041,"In La Liga 2021-2022, Real Madrid and Barcelona both recieve 3 points from the games between them. (variable1 is ""Real Madrid receives more points from games between them"" and variable2 is ""Barcelona receives more points from games between them"")"
S042,"Lawton Park is a neighbourhood in Seattle. (variable1 is ""a neighbourhood in Seattle"")"
S043,"All citizens of Lawton Park use the zip code 98199. (variable1 is ""a citizen of Lawton Park"" and variable2 is ""uses the zip code 98199"")"
S044,"Tom is a citizen of Lawton Park. (variable1 is ""a citizen of Lawton Park"")"
S045,"Daniel uses the zip code 98199. (variable1 is ""uses the zip code 98199"")"
S046,"If a legislator is found guilty of stealing government funds, they will be suspended from office. (variable1 is ""a legislator"" and variable2 is ""found guilty of stealing government funds"" and variable3 is ""suspended from office"")"
S047,"Tiffany T. Alston was a legislator in Maryland's House of Delegates from 2011 to 2013. (variable1 is ""a legislator"")"
S048,"Tiffany T. Alston was found guilty of stealing government funds in 2012. (variable1 is ""found guilty of stealing government funds"")"
S049,"Some fish may sting. (variable1 is ""a fish"" and variable2 is ""may sting"")"
S050,"Stonefish is a fish. (variable1 is ""a fish"")"
S051,"It stings to step on a stonefish. (variable1 is ""step on a stonefish"" and variable2 is ""stings"")"
S052,"Stonefish stings cause death if not treated. (variable1 is ""stung by stonefish"" and variable2 is ""treated"" and variable3 is ""cause death"")"
S053,"To treat stonefish stings, apply heat to the affected area or use an antivenom. (variable1 is ""stung by stonefish"" and variable2 is ""apply heat to the affected area"" and variable3 is ""use an antivenom"" and variable4 is ""treated"")"
S054,"Some monitors produced by LG have a type-c port. (variable1 is ""produced by LG"" and variable2 is ""has a type-c port"")"
S055,"If the monitor has a type-c port, then it is not produced by AOC. (variable1 is ""has a type-c port"" and variable2 is ""produced by AOC"")"
S056,"All monitors in the library are produced by AOC. (variable1 is ""in the library"" and variable2 is ""produced by AOC"")"
S057,"L-2021 is either in the library or has a type-c port. (variable1 is ""in the library"" and variable2 is ""has a type-c port"")"
S058,"L-2021 is either produced by AOC and produced by LG, or neither produced by AOC nor produced by LG. (variable1 is ""produced by AOC"" and variable2 is ""produced by LG"")"
S059,"People eat meat regularly or are vegetation. (variable1 is ""eat meat regularly"" and variable2 is ""are vegetarian"")"
S060,"If people eat meat regularly, then they enjoy eating hamburgers and steaks. (variable1 is ""eat meat regularly"" and variable2 is ""enjoy eating hamburgers"")"
S061,"All people who are vegetarian are conscious of the environment or their health. (variable1 is ""vegetarian"" and variable2 is ""conscious of the environment or their health"")"
S062,"If people are conscious about the environment or their health, then they do not go to fast food places often. (variable1 is ""conscious about the environment or their health"" and variable2 is ""go to fast food places often"")"
S063,"If people have busy schedules without time to cook, then they go to fast food places often. (variable1 is ""have busy schedules without time to cook"" and variable2 is ""go to fast food places often"")"
S064,"If Jeremy does not both go to fast food places often and is conscious about the environment or their health, then he goes to fast food places often. (variable1 is ""goes to fast food places often"" and variable2 is ""conscious about the environment or their health"")"
S065,"Sam is doing a project. (variable1 is ""a project"" and variable2 is ""Sam does it"")"
S066,"A project is written either in C++ or in Python. (variable1 is ""a project"" and variable2 is ""written in Python"" and variable3 is ""written in C++"")"
S067,"If Sam does a project written in Python, he will not use a Mac. (variable1 is ""a project"" and variable2 is ""written in Python"" and variable3 is ""Sam does it"" and variable4 is ""uses a Mac"")"
S068,"Sam is using a Mac. (variable1 is ""uses a Mac"")"
S069,"If Sam uses a Mac, he will play a song. (variable1 is ""uses a Mac"" and variable2 is ""a song"" and variable3 is ""Sam plays it"")"
S070,"If a song is not ""Perfect"", Sam will never play it. (variable1 is ""is Perfect"" and variable2 is ""Sam plays it"")"
S071,"All rabbits have fur (variable1 is ""a rabbit"" and variable2 is ""has fur"")"
S072,"Some pets are rabbits. (variable1 is ""a pet"" and variable2 is ""a rabbit"")"
S073,"All video applications are software. (variable1 is ""a video application"" and variable2 is ""software"")"
S074,"All YouTube-related applications are video applications. (variable1 is ""a YouTube-related application"" and variable2 is ""a video application"")"
S075,"An APP is either related to YouTube or Instagram. (variable1 is ""related to YouTube"" and variable2 is ""related to Instagram"")"
S076,"All Instagram is entertainment. (variable1 is ""Instagram"" and variable2 is ""entertainment"")"
S077,"All software is programmed. (variable1 is ""software"" and variable2 is ""programmed"")"
S078,"All entertainments are interesting. (variable1 is ""entertainment"" and variable2 is ""interesting"")"
S079,"If something is interesting, then it is good. (variable1 is ""interesting"" and variable2 is ""good"")"
S080,"TikTok is not good. (variable1 is ""good"")"
S081,"Ordinary is an unincorporated community. (variable1 is ""an unincorporated community"")"
S082,"Located within Elliot County, Ordinary is on Kentucky Route 32. (variable1 is ""located within Elliot County"" and variable2 is ""on Kentucky Route 32"")"
S083,"Ordinary is located northwest of Sandy Hook. (variable1 is ""located northwest of Sandy Hook"")"
S084,"All young adults go on a diet. (variable1 is ""a young adult"" and variable2 is ""go on a diet"")"
S085,"All college students are young adults. (variable1 is ""a college student"" and variable2 is ""a young adult"")"
S086,"All Yale students are college students. (variable1 is ""a Yale student"" and variable2 is ""a college student"")"
S087,"Someone is either a Yale student or a Harvard student. (variable1 is ""a Yale student"" and variable2 is ""a Harvard student"")"
S088,"All Harvard students are diligent. (variable1 is ""a Harvard student"" and variable2 is ""diligent"")"
S089,"If Susan is a Harvard student, then she is a young adult. (variable1 is ""a Harvard student"" and variable2 is ""a young adult"")"
S090,"If Susan is a Yale student, then she does not go on a diet. (variable1 is ""a Yale student"" and variable2 is ""go on a diet"")"
S091,"Vic DiCara plays guitar and bass. (variable1 is ""plays guitar"" and variable2 is ""plays bass"")"
S092,"The only style of music Vic DiCara plays is punk music. (variable1 is ""plays punk music"" and variable2 is ""plays other styles of music"")"
S093,"Vic DiCara played in the band Inside Out. (variable1 is ""played in the band Inside Out"")"
S094,"All athletes are good at sports. (variable1 is ""an athlete"" and variable2 is ""good at sports"")"
S095,"All Olympic gold medal winners are good athletes. (variable1 is ""an Olympic gold medal winner"" and variable2 is ""an athlete"")"
S096,"No scientists are good at sports. (variable1 is ""a scientist"" and variable2 is ""good at sports"")"
S097,"All Nobel laureates are scientists. (variable1 is ""a Nobel laureate"" and variable2 is ""a scientist"")"
S098,"Amy is good at sports or Amy is an Olympic gold medal winner. (variable1 is ""good at sports"" and variable2 is ""an Olympic gold medal winner"")"
S099,"If Amy is not a Nobel laureate, then Amy is not an Olympic gold medal winner. (variable1 is ""a Nobel laureate"" and variable2 is ""an Olympic gold medal winner"")"
S100,"All fruits with the color red contain a large amount of vitamin C. (variable1 is ""a fruit with the color red"" and variable2 is ""contains a large amount of vitamin C"")"
